,hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code,b
1933,,,ZTF,ZTF,ZTF,ZTF,ZTF20aanaibf,904.01,r,17.6364,-19.62,>20.971,10.961,>10.01,-22.65,0.95,0.539,SN2020cxe,,,,,0.053,302.4114666666666,62.55855555555555,SNIa,Ia,0,15.510680402460988
1941,SDSS J090207.44+122141.9,0.071,"ALeRCE, ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aaormnl,,,,,,,,,,,SN2020cxo,,,,,0.09,135.5310375,12.361655555555556,SNIa,Ia,0,34.5353687660874
1953,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aapdgaw,,,,,,,,,,,SN2020cxx,,,,,0.02,48.08175000000001,41.28225,SNIa,Ia,0,-14.212039002572652
1943,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abjijwk,,,,,,,,,,,SN2020cyj,,,,,0.08,198.1803958333333,74.19433611111111,SNIa,Ia,0,42.8522244928823
1931,,,"ZTF, GaiaAlerts, ATLAS, GOTO","ZTF, GaiaAlerts, ATLAS, GOTO",ZTF,ATLAS; GaiaAlerts; GOTO; ZTF,ZTF20aappgod,905.05,g,18.391,-19.52,37.951,7.504,30.447,-19.65,0.69,0.257,SN2020cyp,,,,,0.076,242.70525,1.624938888888889,SNIa,Ia,0,35.91651583690876
1955,WISEA J132834.80-130008.6,,"ALeRCE, ATLAS, GOTO, ZTF, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS",ePESSTO+,ATLAS; GOTO; Pan-STARRS; ZTF,ZTF20aaporoa,,,,,,,,,,,SN2020cyx,,,,,0.037,202.14609166666665,-13.001761111111112,SNIa,Ia,0,48.86992700166098
1956,WISEA J141227.41-054924.8,,"ALeRCE, ZTF, YSE","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF20aappcup,,,,,,,,,,,SN2020cyz,1.0,0.0,1.0,0.0,0.11,213.1140208333333,-5.823416666666667,SNIa,Ia,0,51.663399860780366
1957,DES J151536.35+041352.7,0.09861,"ALeRCE, ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF20aappghn,908.99,r,18.7456,-19.54,24.919,9.402,15.517,-21.55,1.01,0.111,SN2020czb,,,,,0.099,228.90119583333333,4.231691666666666,SNIa,Ia,0,48.70480642887569
1954,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF20aaowuim,912.92,r,16.3566,-18.99,33.326,8.682,24.644,-21.93,0.85,0.045,SN2020czo,,,,,0.0267,165.2970916666667,12.474772222222224,SNIa,Ia,0,60.325412135917
1958,WISEA J093157.88+331241.0,0.042335,"ALeRCE, ATLAS, ZTF, YSE","ZTF, ATLAS, Pan-STARRS",adH0cc,ATLAS; Pan-STARRS; ZTF,ZTF20aapjiwl,,,,,,,,,,,SN2020dbd,0.83,0.0,0.83,0.17,0.042335,142.98867916666669,33.20966666666667,SNII,II,2,46.85849087512912
1959,SDSS J105658.84+430436.2,0.188,"ALeRCE, ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20aapycrh,906.8,g,18.4953,-15.58,58.545,5.971,52.574,-13.84,0.37,0.024,SN2020dbg,,,,,0.015,164.24520833333335,43.076800000000006,SNII,II,2,61.897979642172125
6774,,,,,,,ZTF20aaosoct,912.75,g,18.0469,-19.13,23.519,9.211,14.308,-19.09,0.41,0.107,SN2020dcp,,,,,0.059,148.43925,-4.992138888888889,SNIa-91T,Ia,0,36.41016998819061
1961,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aaocqkr,,,,,,,,,,,SN2020dcs,,,,,0.02402,183.35615833333333,37.69938888888888,SNIIn,II,2,76.74610614612212
6773,,,,,,,ZTF20aaoldej,904.97,r,18.337,-16.93,30.462,7.408,23.054,-13.77,0.29,0.045,SN2020dcx,,,,,0.02578,192.734375,40.18672222222222,SNII,II,2,76.94111921476517
1721,WISEA J164453.20+425857.9,0.058561,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aacdfep,862.01,g,18.4344,-18.64,>15.93,>9.96,5.97,-21.31,1.13,0.037,SN2020dd,,,,,0.05847,251.21879583333336,42.98226666666667,SNIa,Ia,0,40.72502190344411
6775,,,,,,,ZTF20aapcmur,912.0,r,17.5145,-18.91,24.847,9.468,15.379,-21.18,1.06,0.133,SN2020ddo,,,,,0.04218,235.28041666666667,22.129166666666663,SNIa,Ia,0,51.29427423582154
1948,,,"ZTF, ATLAS","ZTF, ATLAS","ZTF, ePESSTO+",ATLAS; ZTF,ZTF20aapadwx,911.93,g,17.1002,-19.01,22.854,9.586,13.268,-21.64,1.11,0.045,SN2020ddr,,,,,0.0375,216.1974375,26.28767777777778,SNIa,Ia,0,69.1648504421342
1945,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF20aaosuzy,,,,,,,,,,,SN2020dfp,,,,,0.11,175.10569166666664,59.57506666666667,SNIa,Ia,0,55.32835199067359
