hostname,hostredshift,reporting_groups,data_sources,classifying_groups,associated_groups,ZTFID,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,hostabs,hostcol,b,A_V,IAUID,Confidence,p_SNII,p_SNIa,p_SNIbc,redshift,RA_deg,Dec_deg,subtype,type,type_code
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aayjyub,294.71,g,17.1163,-18.53,27.548,11.871,15.677,-13.49,0.17,54.49927769,0.068,SN2018cod,,,,,0.03,200.1165,62.30083888888888,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxvpsw,288.73,g,18.6502,-19.41,23.915,11.003,12.912,-21.60,1.09,60.7619007,0.034,SN2018cof,,,,,0.0916,224.97664166666667,39.07882777777778,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aamzgzi,1971.95,g,15.2602,-19.25,>18.693,>4.02,14.673,-22.58,1.18,60.69561234,0.06,SN2018mef,,,,,0.0179,223.56842500000002,42.55795555555555,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaylbjm,,,,,,,,,,,,SN2018coc,,,,,0.09,249.63332083333333,5.126472222222222,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aayxxew,,,,,,,,,,,,SN2018lth,,,,,0.061,197.13957083333332,45.986152777777775,SNII,II,2
,,"ZTF, GaiaAlerts, Pan-STARRS","ZTF, GaiaAlerts, Pan-STARRS",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF18aazabmh,293.76,r,18.7863,-18.76,24.711,13.246,11.465,-14.52,0.18,37.27004919,0.041,SN2018crr,,,,,0.073,254.9051666666667,59.073280555555556,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaydmkh,284.82,r,18.7378,-19.17,27.072,5.995,21.077,-20.94,1.21,34.80364779,0.082,SN2018coh,,,,,0.0845,260.1610916666666,52.041936111111106,SNIa,Ia,0
,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18aaxwjmp,290.7,g,18.6893,-19.15,23.712,11.884,11.828,-18.11,0.41,37.77977186,0.097,SN2018coe,,,,,0.08,252.90562500000001,61.54536944444444,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18aazcoob,,,,,,,,,,,,SN2018crj,,,,,0.088,269.5111666666666,69.0727611111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aayxupv,,,,,,,,,,,,SN2018cob,,,,,0.047,183.38737500000002,25.45156111111111,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aazgrfl,,,,,,,,,,,,SN2018lzv,,,,,0.434,191.00966666666667,56.02902777777778,SLSN-I,SLSN,3
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18aayidfz,288.7,g,18.4743,-18.89,21.454,8.415,13.039,-15.17,1.05,83.90186114,0.029,SN2018cvd,,,,,0.067,198.66774999999998,24.005744444444446,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aaxzlmy,,,,,,,,,,,,SN2018lrq,,,,,0.025,203.714125,34.055677777777774,SNII,II,2
,,"ZTF, GaiaAlerts","ZTF, GaiaAlerts",ZTF,GaiaAlerts; ZTF,ZTF18aazblzy,290.71,g,18.2576,-19.01,18.735,6.689,12.046,-17.16,2.49,47.01111287,0.037,SN2018cri,,,,,0.064,242.8395,36.99428888888889,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18aazixbw,293.7,g,18.2918,-18.81,22.027,10.036,11.991,-22.48,0.88,43.05295984,0.029,SN2018coi,,,,,0.0594,244.74158333333332,56.7169,SNIa,Ia,0
,,ZTF,ZTF,ZTF,ZTF,ZTF18aazjztm,290.74,g,18.6315,-18.99,23.341,7.376,15.965,-21.14,0.88,34.81392435,0.113,SN2018crs,,,,,0.072,260.1016541666666,55.214644444444446,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18aazsabq,293.83,r,18.2337,-18.58,20.04,8.082,11.958,-19.38,1.23,21.85345777,0.161,SN2018crn,,,,,0.05,283.8410083333333,56.58841944444445,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abadjhx,,,,,,,,,,,,SN2018cro,,,,,0.076,315.20526666666666,9.524494444444445,SNIa,Ia,0
,,"ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF18abaelhi,,,,,,,,,,,,SN2018ctr,,,,,0.02253,207.19925,6.355230555555555,SNII,II,2
,,ZTF,ZTF,ZTF,ZTF,ZTF18abakjgq,,,,,,,,,,,,SN2018ctt,,,,,0.054,328.0790833333333,44.24405,SNIa,Ia,0
,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18abaxlpi,296.95,g,18.3094,-19.11,22.32,7.607,14.713,-21.23,0.67,23.05029252,0.14,SN2018ctm,,,,,0.0646,276.55905416666667,45.01020833333333,SNIa,Ia,0
,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",ZTF,Pan-STARRS; ZTF,ZTF18abbqjds,298.81,r,18.635,-19.67,27.227,9.222,18.005,-22.38,0.75,37.25114663,0.106,SN2018cvr,,,,,0.1,221.3524541666667,78.28474166666666,SNIa,Ia,0
,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF18abbpeqo,302.81,r,17.9918,-19.37,22.46,10.589,11.871,-22.12,0.88,48.51832123,0.054,SN2018cvq,,,,,0.06678,238.22680833333334,50.61947222222222,SNIa,Ia,0
,,"ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF18abbvsiv,297.74,g,17.663,-19.17,27.821,8.797,19.024,-22.07,1.17,32.69415597,0.087,SN2018cto,,,,,0.051,261.13348333333334,70.37244999999999,SNIa,Ia,0
