
ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V
ZTF19aadgily,AT2019qs,14:42:53.62,+26:34:49.0,505.98,g,17.8709,-,21.584,7.445,14.139,-,-,-,-,65.1860195,0.06
ZTF19aadgmuq,AT2019vs,16:30:31.24,+40:09:24.0,505.97,g,18.1584,-,31.715,7.301,24.414,-,-,-,-,43.34837906,0.033
ZTF19aadmapf,AT2019wz,08:34:27.30,-05:44:20.4,506.96,g,17.8932,-,>25.401,5.631,>19.77,-,-,-,-,19.82668919,0.103
ZTF19aadnvyd,AT2019wc,11:39:58.94,+21:58:41.0,513.93,r,18.1723,-,19.305,10.57,8.735,-,-,-,-,72.97422488,0.058
ZTF19aadnxkc,AT2019vw,16:00:29.18,+32:00:39.6,509.01,r,18.6418,-,30.437,17.03,13.407,-,-,-,-,48.92573667,0.078
ZTF19aadoevn,AT2019yf,10:58:36.61,+20:30:31.7,514.94,r,18.2591,-,19.649,10.223,9.426,-,-,-,-,63.42426269,0.064
ZTF19aadofaz,AT2019ya,10:50:19.75,+02:18:19.4,512.00,g,18.5513,-,24.786,10.527,14.259,-,-,-,-,51.84211065,0.125
ZTF19aadpidh,AT2019wy,02:47:19.37,+15:27:55.6,505.64,r,18.7569,-,>46.998,4.998,>42,-,-,-,-,-38.96403751,0.241
ZTF19aadyize,AT2019aag,14:32:18.40,+22:52:16.6,512.02,g,18.7906,-,25.299,10.697,14.602,-,-,-,-,66.7938415,0.088
ZTF19aadyplk,AT2019yp,15:35:19.88,+41:50:25.1,512.06,r,18.9166,-,17.399,8,9.399,-,-,-,-,53.58895867,0.098
ZTF19aaednlp,AT2019aae,09:43:40.12,-13:31:33.8,507.96,g,17.9006,-,28.454,3.693,24.761,-,-,-,-,28.95505841,0.122
ZTF19aaedudt,AT2019apl,12:33:28.94,+11:12:46.7,511.94,g,18.6455,-,36.482,6.378,30.104,-,-,-,-,73.5343688,0.132
